            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457987.150694444, A.D. 2017-Aug-21 15:37:00.0000,  1.287541945310295E+08, -7.880412034471478E+07,  4.454738737627864E+03,  1.446454523119428E+01,  2.444293903212398E+01,  9.548606028102569E-02,  5.035352152632846E+02,  1.509560598733392E+08, -4.228582360593429E-01,
2457987.151388889, A.D. 2017-Aug-21 15:38:00.0000,  1.287550623991550E+08, -7.880265376573358E+07,  4.460467876259238E+03,  1.446439228684164E+01,  2.444302701143341E+01,  9.548522695549444E-02,  5.035351306475181E+02,  1.509560345061706E+08, -4.227140532027707E-01,
2457987.152083333, A.D. 2017-Aug-21 15:39:00.0000,  1.287559302581042E+08, -7.880118718147294E+07,  4.466196964804083E+03,  1.446423935449235E+01,  2.444311501344889E+01,  9.548439090025873E-02,  5.035350460606077E+02,  1.509560091476528E+08, -4.225698719619964E-01,
2457987.152777778, A.D. 2017-Aug-21 15:40:00.0000,  1.287567981078778E+08, -7.879972059193152E+07,  4.471926003109664E+03,  1.446408643414122E+01,  2.444320303817238E+01,  9.548355211545001E-02,  5.035349615025535E+02,  1.509559837977859E+08, -4.224256923413008E-01,
2457987.153472222, A.D. 2017-Aug-21 15:41:00.0000,  1.287576659484765E+08, -7.879825399710792E+07,  4.477654991008341E+03,  1.446393352578308E+01,  2.444329108560586E+01,  9.548271060119795E-02,  5.035348769733550E+02,  1.509559584565697E+08, -4.222815143449307E-01,
2457987.154166667, A.D. 2017-Aug-21 15:42:00.0000,  1.287585337799011E+08, -7.879678739700080E+07,  4.483383928336203E+03,  1.446378062941278E+01,  2.444337915575128E+01,  9.548186635765177E-02,  5.035347924730119E+02,  1.509559331240041E+08, -4.221373379771575E-01,
2457987.154861111, A.D. 2017-Aug-21 15:43:00.0000,  1.287594016021523E+08, -7.879532079160877E+07,  4.489112814914435E+03,  1.446362774502513E+01,  2.444346724861059E+01,  9.548101938493403E-02,  5.035347080015238E+02,  1.509559078000891E+08, -4.219931632422420E-01,
2457987.155555556, A.D. 2017-Aug-21 15:44:00.0000,  1.287602694152308E+08, -7.879385418093050E+07,  4.494841650605202E+03,  1.446347487261496E+01,  2.444355536418574E+01,  9.548016968319217E-02,  5.035346235588906E+02,  1.509558824848245E+08, -4.218489901444415E-01,
2457987.156250000, A.D. 2017-Aug-21 15:45:00.0000,  1.287611372191372E+08, -7.879238756496462E+07,  4.500570435225964E+03,  1.446332201217711E+01,  2.444364350247869E+01,  9.547931725255232E-02,  5.035345391451118E+02,  1.509558571782103E+08, -4.217048186880278E-01,
2457987.156944444, A.D. 2017-Aug-21 15:46:00.0000,  1.287620050138725E+08, -7.879092094370975E+07,  4.506299168612808E+03,  1.446316916370639E+01,  2.444373166349139E+01,  9.547846209315303E-02,  5.035344547601870E+02,  1.509558318802463E+08, -4.215606488772569E-01,
2457987.157638889, A.D. 2017-Aug-21 15:47:00.0000,  1.287628727994371E+08, -7.878945431716454E+07,  4.512027850620449E+03,  1.446301632719764E+01,  2.444381984722580E+01,  9.547760420513285E-02,  5.035343704041160E+02,  1.509558065909324E+08, -4.214164807163956E-01,
2457987.158333333, A.D. 2017-Aug-21 15:48:00.0000,  1.287637405758319E+08, -7.878798768532762E+07,  4.517756481058896E+03,  1.446286350264570E+01,  2.444390805368386E+01,  9.547674358863034E-02,  5.035342860768984E+02,  1.509557813102685E+08, -4.212723142096922E-01,
2457987.159027778, A.D. 2017-Aug-21 15:49:00.0000,  1.287646083430577E+08, -7.878652104819766E+07,  4.523485059801489E+03,  1.446271069004536E+01,  2.444399628286752E+01,  9.547588024377696E-02,  5.035342017785337E+02,  1.509557560382546E+08, -4.211281493614276E-01,
2457987.159722222, A.D. 2017-Aug-21 15:50:00.0000,  1.287654761011150E+08, -7.878505440577324E+07,  4.529213586639613E+03,  1.446255788939149E+01,  2.444408453477874E+01,  9.547501417070947E-02,  5.035341175090221E+02,  1.509557307748906E+08, -4.209839861758356E-01,
2457987.160416667, A.D. 2017-Aug-21 15:51:00.0000,  1.287663438500046E+08, -7.878358775805302E+07,  4.534942061442882E+03,  1.446240510067888E+01,  2.444417280941945E+01,  9.547414536956644E-02,  5.035340332683629E+02,  1.509557055201763E+08, -4.208398246572023E-01,
2457987.161111111, A.D. 2017-Aug-21 15:52:00.0000,  1.287672115897273E+08, -7.878212110503565E+07,  4.540670484028757E+03,  1.446225232390239E+01,  2.444426110679160E+01,  9.547327384048110E-02,  5.035339490565557E+02,  1.509556802741116E+08, -4.206956648097646E-01,
2457987.161805556, A.D. 2017-Aug-21 15:53:00.0000,  1.287680793202837E+08, -7.878065444671977E+07,  4.546398854255676E+03,  1.446209955905682E+01,  2.444434942689714E+01,  9.547239958359910E-02,  5.035338648736001E+02,  1.509556550366964E+08, -4.205515066378038E-01,
2457987.162500000, A.D. 2017-Aug-21 15:54:00.0000,  1.287689470416747E+08, -7.877918778310397E+07,  4.552127171926200E+03,  1.446194680613701E+01,  2.444443776973802E+01,  9.547152259904657E-02,  5.035337807194961E+02,  1.509556298079307E+08, -4.204073501455567E-01,
2457987.163194444, A.D. 2017-Aug-21 15:55:00.0000,  1.287698147539007E+08, -7.877772111418691E+07,  4.557855436906219E+03,  1.446179406513778E+01,  2.444452613531615E+01,  9.547064288696916E-02,  5.035336965942431E+02,  1.509556045878144E+08, -4.202631953372889E-01,
2457987.163888889, A.D. 2017-Aug-21 15:56:00.0000,  1.287706824569627E+08, -7.877625443996727E+07,  4.563583649016917E+03,  1.446164133605396E+01,  2.444461452363350E+01,  9.546976044749655E-02,  5.035336124978410E+02,  1.509555793763473E+08, -4.201190422172623E-01,
2457987.164583333, A.D. 2017-Aug-21 15:57:00.0000,  1.287715501508613E+08, -7.877478776044364E+07,  4.569311808101833E+03,  1.446148861888038E+01,  2.444470293469200E+01,  9.546887528077086E-02,  5.035335284302893E+02,  1.509555541735293E+08, -4.199748907897380E-01,
2457987.165277778, A.D. 2017-Aug-21 15:58:00.0000,  1.287724178355972E+08, -7.877332107561465E+07,  4.575039913997054E+03,  1.446133591361186E+01,  2.444479136849359E+01,  9.546798738692530E-02,  5.035334443915875E+02,  1.509555289793603E+08, -4.198307410589575E-01,
2457987.165972222, A.D. 2017-Aug-21 15:59:00.0000,  1.287732855111712E+08, -7.877185438547896E+07,  4.580767966534942E+03,  1.446118322024323E+01,  2.444487982504019E+01,  9.546709676610732E-02,  5.035333603817356E+02,  1.509555037938403E+08, -4.196865930291816E-01,
2457987.166666667, A.D. 2017-Aug-21 16:00:00.0000,  1.287741531775839E+08, -7.877038769003521E+07,  4.586495965562761E+03,  1.446103053876930E+01,  2.444496830433376E+01,  9.546620341844125E-02,  5.035332764007331E+02,  1.509554786169691E+08, -4.195424467046819E-01,
2457987.167361111, A.D. 2017-Aug-21 16:01:00.0000,  1.287750208348361E+08, -7.876892098928198E+07,  4.592223910886794E+03,  1.446087786918492E+01,  2.444505680637622E+01,  9.546530734407099E-02,  5.035331924485796E+02,  1.509554534487467E+08, -4.193983020896906E-01,
2457987.168055556, A.D. 2017-Aug-21 16:02:00.0000,  1.287758884829284E+08, -7.876745428321798E+07,  4.597951802380383E+03,  1.446072521148489E+01,  2.444514533116950E+01,  9.546440854313509E-02,  5.035331085252748E+02,  1.509554282891729E+08, -4.192541591884781E-01,
2457987.168750000, A.D. 2017-Aug-21 16:03:00.0000,  1.287767561218617E+08, -7.876598757184179E+07,  4.603679639857262E+03,  1.446057256566405E+01,  2.444523387871554E+01,  9.546350701576856E-02,  5.035330246308183E+02,  1.509554031382475E+08, -4.191100180052987E-01,
2457987.169444445, A.D. 2017-Aug-21 16:04:00.0000,  1.287776237516365E+08, -7.876452085515206E+07,  4.609407423164696E+03,  1.446041993171722E+01,  2.444532244901628E+01,  9.546260276211527E-02,  5.035329407652099E+02,  1.509553779959707E+08, -4.189658785444005E-01,
2457987.170138889, A.D. 2017-Aug-21 16:05:00.0000,  1.287784913722537E+08, -7.876305413314745E+07,  4.615135152138770E+03,  1.446026730963923E+01,  2.444541104207362E+01,  9.546169578230668E-02,  5.035328569284491E+02,  1.509553528623421E+08, -4.188217408100329E-01,
2457987.170833333, A.D. 2017-Aug-21 16:06:00.0000,  1.287793589837139E+08, -7.876158740582655E+07,  4.620862826608121E+03,  1.446011469942489E+01,  2.444549965788952E+01,  9.546078607648312E-02,  5.035327731205358E+02,  1.509553277373617E+08, -4.186776048064663E-01,
2457987.171527778, A.D. 2017-Aug-21 16:07:00.0000,  1.287802265860179E+08, -7.876012067318806E+07,  4.626590446420014E+03,  1.445996210106904E+01,  2.444558829646589E+01,  9.545987364477604E-02,  5.035326893414693E+02,  1.509553026210295E+08, -4.185334705379439E-01,
2457987.172222222, A.D. 2017-Aug-21 16:08:00.0000,  1.287810941791663E+08, -7.875865393523052E+07,  4.632318011384457E+03,  1.445980951456650E+01,  2.444567695780465E+01,  9.545895848733821E-02,  5.035326055912495E+02,  1.509552775133452E+08, -4.183893380087060E-01,
2457987.172916667, A.D. 2017-Aug-21 16:09:00.0000,  1.287819617631599E+08, -7.875718719195266E+07,  4.638045521374792E+03,  1.445965693991208E+01,  2.444576564190773E+01,  9.545804060429930E-02,  5.035325218698760E+02,  1.509552524143089E+08, -4.182452072230274E-01,
2457987.173611111, A.D. 2017-Aug-21 16:10:00.0000,  1.287828293379993E+08, -7.875572044335306E+07,  4.643772976208478E+03,  1.445950437710063E+01,  2.444585434877706E+01,  9.545711999579609E-02,  5.035324381773485E+02,  1.509552273239203E+08, -4.181010781851467E-01,
2457987.174305555, A.D. 2017-Aug-21 16:11:00.0000,  1.287836969036854E+08, -7.875425368943034E+07,  4.649500375721604E+03,  1.445935182612694E+01,  2.444594307841456E+01,  9.545619666197069E-02,  5.035323545136666E+02,  1.509552022421795E+08, -4.179569508993122E-01,
2457987.175000000, A.D. 2017-Aug-21 16:12:00.0000,  1.287845644602187E+08, -7.875278693018320E+07,  4.655227719757706E+03,  1.445919928698585E+01,  2.444603183082214E+01,  9.545527060296699E-02,  5.035322708788298E+02,  1.509551771690862E+08, -4.178128253697875E-01,
2457987.175694444, A.D. 2017-Aug-21 16:13:00.0000,  1.287854320076000E+08, -7.875132016561019E+07,  4.660955008141696E+03,  1.445904675967219E+01,  2.444612060600172E+01,  9.545434181891288E-02,  5.035321872728379E+02,  1.509551521046404E+08, -4.176687016008050E-01,
2457987.176388889, A.D. 2017-Aug-21 16:14:00.0000,  1.287862995458301E+08, -7.874985339571001E+07,  4.666682240720838E+03,  1.445889424418077E+01,  2.444620940395523E+01,  9.545341030995225E-02,  5.035321036956906E+02,  1.509551270488420E+08, -4.175245795966301E-01,
2457987.177083333, A.D. 2017-Aug-21 16:15:00.0000,  1.287871670749096E+08, -7.874838662048127E+07,  4.672409417323768E+03,  1.445874174050642E+01,  2.444629822468459E+01,  9.545247607622720E-02,  5.035320201473875E+02,  1.509551020016908E+08, -4.173804593615109E-01,
2457987.177777778, A.D. 2017-Aug-21 16:16:00.0000,  1.287880345948392E+08, -7.874691983992261E+07,  4.678136537797749E+03,  1.445858924864396E+01,  2.444638706819169E+01,  9.545153911787096E-02,  5.035319366279281E+02,  1.509550769631868E+08, -4.172363408996908E-01,
2457987.178472222, A.D. 2017-Aug-21 16:17:00.0000,  1.287889021056196E+08, -7.874545305403262E+07,  4.683863601956517E+03,  1.445843676858821E+01,  2.444647593447847E+01,  9.545059943502565E-02,  5.035318531373123E+02,  1.509550519333299E+08, -4.170922242154148E-01,
2457987.179166667, A.D. 2017-Aug-21 16:18:00.0000,  1.287897696072516E+08, -7.874398626281001E+07,  4.689590609669685E+03,  1.445828430033399E+01,  2.444656482354684E+01,  9.544965702783692E-02,  5.035317696755396E+02,  1.509550269121199E+08, -4.169481093129481E-01,
